1,"耐用度：pbt键帽耐磨，不易掉色
舒适度：冰淇淋轴手感丝滑，流畅
操作难度：键程短，反应快，声音小
外观颜值：海盐蓝紫白配色，非常好看很喜欢
响应速度：键盘响应很快，无线与有线几乎无差别",预售V98Pro Box冰淇淋轴Pro 海盐
2,"耐用度：pbt键帽，凯华轴，应该耐用可以；

舒适度：冰淇淋轴，手感不错，大键卫星轴应该还是第一梯队的；

操作难度：键帽高度合适，接触面大，轴体回弹适中；

外观颜值：蓝紫配色，小清新，非常好看，有rgb灯效；

响应速度：反应很快，2.4g与有线反应速度差不多，有2.4g收纳槽好评，用起来很顺手

赠品:预售赠了个空格键帽，还有3个轴，一个拆卸器还有一根 type - C usb 的数据线

总结:VGN98PRO在这个价位确实不错，值得推荐。",预售V98Pro Box冰淇淋轴Pro 海盐
3,"第一次买这么贵的键盘，体验还不错，冰淇淋轴Pro敲起来好舒服。
外观颜值：看起来好舒服，这颜色真的让人感到暖心

操作难度：敲击感很好，但我第一用3模键盘，不会连2.4G模式和蓝牙模式。

响应速度：响应速度很快

耐用度：我希望可以用两年",预售V98Pro Box冰淇淋轴Pro 海盐
4,"颜值爆表 键盘上手舒服 配色也好好看 几乎没有声音
舒适度：简直完美  打字速度都提升了
操作难度：简洁 简单
外观颜值：超级喜欢 朋友也说很好看 已经推荐给朋友了",预售V98Pro 蒸汽波轴Pro 黑加仑
5,"外观颜值：外观和宣传一样很好
响应速度：响应舒服不错，真实1000回报，三模稳定，休眠还没体验
舒适度：轴体厂润可以，键帽合适，等待适应
整体是一把非常不错的键盘，box冰淇淋pro厂润好评，触发也很快，整体的颜值也很高，RGB灯光可以，模式挺多的，比较硬的gasket结构，三模连接切换方便，键盘内部的填充也是做得不错，价格也很到位，赠品也有，期待后续。
总而言之，有些小的瑕疵，还有很多可以改善的细节，但是瑕不掩瑜，这个键盘还是非常值得购买的，比较推荐，2022年卷王??",预售V98Pro Box冰淇淋轴Pro 海盐
6,"收到货十分的惊喜。比预期的还要好。
耐用度：感觉十分耐用。
舒适度：无论是力度，还是声音都十分舒适。
操作难度：跟着说明书一下子就搞定了，很简单。
外观颜值：我只能说颜值yyds冰淇淋是真的好好看呀。
响应速度：那是相当的快。",预售V98Pro Box冰淇淋轴Pro 海盐
7,"键盘很好是我使用过最好的键盘
耐用度：好
舒适度：好
操作难度：简单
外观颜值：美
响应速度：快，无延迟",预售V98Pro Box冰淇淋轴Pro 海盐
8,限定色 果然不错 没选错 整体做工也不错 按键声音满意 屋子里比较空录音不是很准 实际音效是很不错了 再使用一段时间看看吧 目前很满意 不错不错！,预售V98Pro Box冰淇淋轴Pro努巴尼源限定
9,"舒适度：按键力度、键帽手感等等都很舒服
操作难度：冰淇淋轴体无论是按压力度还是按键声音都非常棒
外观颜值：颜值看图，各种灯光除了可以fn组合键调整，还有更方便的电脑端软件一键设置
响应速度：无任何延迟

其他方面看视频和图片吧，这个价位，无脑冲就对了！
补充：续航方面尤为出色",预售V98Pro Box冰淇淋轴Pro 海盐
10,"外观颜值：黑加仑配色第一眼就戳中了我的心，太好看了
响应速度：无线有1000hz的回报率，很爽
冰淇淋轴软的同时也有不错的回弹，很舒服
键盘到手就能用，大键一致性很好，键帽高度也很适合我",预售V98Pro Box冰淇淋轴Pro 黑加仑
1,一次非常满意的键盘体验。打字：特别好用，耐用度：非常好 舒适度：键盘润滑很舒服，很好用 操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累 外观颜值：海盐蓝紫配色，小清新，非常好看。rgb灯光很好看 响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手，希望国产键盘越来越好。,预售V98Pro Box冰淇淋轴Pro 海盐
2,收到货，第一时间拆包装，感觉质量还是很不错的，键帽润滑很舒适，响应速度也很快，而且轴也进行了厂润，8000毫安电池+凯华冰淇淋Pro+三模rgb+98键等等，399能拿到这些性价比确实还可以，总的来说这次是很满意的一次购物。,预售V98Pro Box冰淇淋轴Pro 海盐
3,"舒适度：第一支机械键盘，非常满意，拿着就感觉用料很扎实
操作难度：简单，小白入手很实用
外观颜值：外观颜值：个人喜欢黑加仑，是真的耐看，夜灯模式很丰富
响应速度：2.4G零延迟，游戏党也可以
除了预售等货有点煎熬，别的不说键盘性价比很高，感觉很耐用，应该能用好几年了哈哈哈，推荐购买",预售V98Pro 蒸汽波轴Pro 黑加仑
